<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
06.11.2018,114550,114550,114500,114520
06.11.2018,114520,114560,114520,114550
06.11.2018,114550,114670,114540,114650
06.11.2018,114660,114670,114600,114610
06.11.2018,114620,114630,114570,114600
06.11.2018,114610,114630,114600,114630
06.11.2018,114630,114650,114620,114630
06.11.2018,114640,114640,114590,114600
06.11.2018,114610,114710,114600,114690
06.11.2018,114680,114690,114610,114620
06.11.2018,114620,114640,114600,114630
06.11.2018,114620,114660,114620,114630
06.11.2018,114630,114680,114620,114670
06.11.2018,114650,114700,114650,114680
06.11.2018,114690,114690,114660,114690
06.11.2018,114670,114740,114670,114740
06.11.2018,114740,114760,114670,114700
06.11.2018,114710,114730,114700,114710
06.11.2018,114720,114720,114660,114660
06.11.2018,114670,114680,114600,114600
06.11.2018,114600,114650,114600,114640
06.11.2018,114640,114640,114600,114620
06.11.2018,114620,114630,114590,114590
06.11.2018,114590,114660,114590,114640
06.11.2018,114650,114660,114630,114630
06.11.2018,114630,114640,114620,114620
06.11.2018,114610,114670,114610,114650
06.11.2018,114650,114650,114590,114600
06.11.2018,114600,114620,114570,114580
06.11.2018,114580,114640,114580,114620
06.11.2018,114630,114650,114630,114630
06.11.2018,114630,114660,114630,114650
06.11.2018,114650,114680,114600,114640
06.11.2018,114640,114700,114640,114670
06.11.2018,114660,114670,114640,114640
06.11.2018,114640,114650,114630,114650
06.11.2018,114650,114670,114630,114630
06.11.2018,114620,114640,114580,114590
06.11.2018,114590,114630,114560,114570
06.11.2018,114570,114610,114570,114600
06.11.2018,114600,114600,114550,114560
06.11.2018,114560,114600,114510,114520
06.11.2018,114510,114540,114500,114500
06.11.2018,114520,114580,114480,114510
06.11.2018,114520,114520,114460,114500
06.11.2018,114500,114540,114490,114530
06.11.2018,114520,114520,114460,114460
06.11.2018,114470,114480,114450,114470
06.11.2018,114480,114510,114480,114480
06.11.2018,114490,114510,114470,114500
06.11.2018,114510,114570,114500,114570
06.11.2018,114550,114570,114520,114530
06.11.2018,114520,114560,114490,114560
06.11.2018,114570,114620,114540,114550
06.11.2018,114550,114560,114500,114520
06.11.2018,114540,114550,114510,114510
06.11.2018,114520,114560,114500,114550
06.11.2018,114560,114560,114530,114530
06.11.2018,114530,114540,114500,114530
06.11.2018,114530,114560,114480,114490
06.11.2018,114500,114510,114490,114490
06.11.2018,114490,114500,114450,114460
06.11.2018,114460,114510,114450,114500
06.11.2018,114510,114510,114460,114460
06.11.2018,114460,114470,114450,114460
06.11.2018,114460,114460,114390,114460
06.11.2018,114460,114510,114450,114510
06.11.2018,114510,114530,114440,114450
06.11.2018,114460,114470,114430,114450
06.11.2018,114450,114470,114450,114470
06.11.2018,114480,114490,114470,114470
06.11.2018,114470,114520,114460,114510
06.11.2018,114510,114520,114450,114480
06.11.2018,114490,114490,114450,114450
06.11.2018,114440,114470,114410,114430
06.11.2018,114420,114440,114420,114430
06.11.2018,114430,114450,114420,114430
06.11.2018,114430,114450,114410,114430
06.11.2018,114440,114460,114430,114440
06.11.2018,114420,114500,114410,114480
06.11.2018,114480,114520,114480,114510
06.11.2018,114500,114550,114490,114540
06.11.2018,114530,114550,114510,114530
06.11.2018,114530,114590,114510,114540
06.11.2018,114550,114560,114530,114550
06.11.2018,114540,114550,114500,114510
06.11.2018,114510,114520,114490,114490
06.11.2018,114490,114520,114480,114520
06.11.2018,114530,114530,114510,114520
06.11.2018,114520,114530,114500,114500
06.11.2018,114500,114500,114230,114230
06.11.2018,114240,114330,114210,114320
06.11.2018,114310,114340,114280,114290
06.11.2018,114290,114310,114250,114300
06.11.2018,114290,114350,114280,114330
06.11.2018,114340,114340,114310,114310
06.11.2018,114320,114330,114280,114290
06.11.2018,114290,114350,114280,114350
06.11.2018,114330,114360,114240,114250
06.11.2018,114250,114260,114220,114250
06.11.2018,114240,114300,114230,114260
06.11.2018,114270,114270,114250,114260
06.11.2018,114270,114290,114250,114290
06.11.2018,114300,114300,114210,114240
06.11.2018,114220,114260,114210,114260
06.11.2018,114260,114260,114210,114230
06.11.2018,114240,114270,114210,114240
06.11.2018,114250,114250,114220,114220
06.11.2018,114220,114280,114210,114270
06.11.2018,114270,114280,114210,114250
06.11.2018,114250,114280,114250,114280
06.11.2018,114260,114280,114250,114280
06.11.2018,114280,114300,114260,114290
06.11.2018,114290,114300,114250,114270
06.11.2018,114250,114320,114250,114290
06.11.2018,114310,114390,114290,114380
06.11.2018,114380,114380,114290,114310
06.11.2018,114310,114320,114280,114290
06.11.2018,114300,114350,114290,114350
06.11.2018,114330,114360,114320,114350
06.11.2018,114360,114440,114360,114420
06.11.2018,114410,114430,114400,114420
06.11.2018,114420,114420,114360,114360
06.11.2018,114360,114390,114360,114380
06.11.2018,114370,114400,114350,114390
06.11.2018,114380,114400,114370,114380
06.11.2018,114370,114470,114370,114450
06.11.2018,114460,114500,114440,114490
06.11.2018,114480,114490,114420,114440
06.11.2018,114440,114500,114420,114430
06.11.2018,114420,114450,114390,114450
06.11.2018,114450,114450,114420,114420
06.11.2018,114440,114450,114430,114450
06.11.2018,114450,114470,114440,114440
06.11.2018,114450,114550,114430,114500
06.11.2018,114510,114570,114510,114530
06.11.2018,114530,114550,114500,114530
06.11.2018,114540,114570,114520,114570
06.11.2018,114570,114590,114550,114580
06.11.2018,114560,114640,114560,114610
06.11.2018,114620,114650,114590,114640
06.11.2018,114630,114640,114590,114640
06.11.2018,114640,114720,114630,114680
06.11.2018,114690,114730,114640,114640
06.11.2018,114640,114670,114620,114650
06.11.2018,114650,114670,114640,114670
06.11.2018,114670,114680,114650,114670
06.11.2018,114680,114750,114670,114720
06.11.2018,114730,114900,114720,114830
06.11.2018,114820,114860,114800,114810
06.11.2018,114800,114840,114800,114820
06.11.2018,114820,114870,114820,114860
06.11.2018,114870,114870,114840,114860
06.11.2018,114860,114900,114850,114880
06.11.2018,114870,114890,114860,114870
06.11.2018,114870,114880,114830,114840
06.11.2018,114840,114850,114810,114840
06.11.2018,114830,114850,114780,114790
06.11.2018,114790,114830,114760,114770
06.11.2018,114790,114810,114750,114760
06.11.2018,114770,114830,114770,114830
06.11.2018,114820,114840,114800,114820
06.11.2018,114810,114830,114780,114790
06.11.2018,114790,114800,114770,114800
06.11.2018,114800,114810,114780,114790
06.11.2018,114800,114810,114790,114800
06.11.2018,114820,114820,114770,114770
06.11.2018,114770,114790,114770,114790
06.11.2018,114780,114800,114770,114790
06.11.2018,114780,114790,114710,114730
06.11.2018,114730,114760,114730,114730
06.11.2018,114750,114800,114740,114790
06.11.2018,114790,114800,114760,114780
06.11.2018,114770,114780,114750,114770
06.11.2018,114780,114810,114780,114800
06.11.2018,114800,114830,114790,114790
06.11.2018,114800,114840,114780,114820
06.11.2018,114820,114820,114800,114800
06.11.2018,114790,114830,114770,114770
06.11.2018,114780,114850,114770,114850
06.11.2018,114850,114850,114820,114840
06.11.2018,114850,114870,114840,114850
06.11.2018,114840,114870,114820,114840
06.11.2018,114850,114870,114840,114870
06.11.2018,114860,114890,114840,114880
06.11.2018,114880,114950,114850,114940
06.11.2018,114940,114950,114890,114900
06.11.2018,114890,114910,114860,114870
06.11.2018,114870,114890,114810,114830
06.11.2018,114840,114840,114800,114800
06.11.2018,114810,114870,114800,114870
06.11.2018,114870,114880,114810,114820
06.11.2018,114810,114820,114780,114810
06.11.2018,114810,114860,114780,114840
06.11.2018,114840,114910,114830,114870
06.11.2018,114870,114920,114870,114910
06.11.2018,114910,114980,114890,114940
06.11.2018,114950,114970,114920,114960
06.11.2018,114970,115070,114940,115030
06.11.2018,115040,115120,115020,115070
06.11.2018,115080,115100,115030,115060
06.11.2018,115060,115060,114940,114980
06.11.2018,114990,115050,114980,115010
06.11.2018,115020,115040,115000,115000
06.11.2018,115020,115030,114980,114990
06.11.2018,115000,115020,114990,115010
06.11.2018,115030,115030,114960,114990
06.11.2018,114980,115000,114960,114960
06.11.2018,114960,114970,114900,114950
06.11.2018,114940,114990,114900,114910
06.11.2018,114920,114940,114920,114920
06.11.2018,114930,114940,114920,114930
06.11.2018,114940,115000,114930,114980
06.11.2018,114970,115140,114970,115120
06.11.2018,115120,115130,115060,115100
06.11.2018,115110,115160,115100,115140
06.11.2018,115130,115160,115090,115130
06.11.2018,115130,115160,115080,115110
06.11.2018,115110,115160,115090,115120
06.11.2018,115120,115130,115040,115060
06.11.2018,115070,115090,115030,115040
06.11.2018,115050,115060,114990,114990
06.11.2018,115000,115010,114920,114940
06.11.2018,114940,114950,114910,114930
06.11.2018,114930,114960,114910,114930
06.11.2018,114930,114940,114890,114940
06.11.2018,114950,114950,114900,114910
06.11.2018,114910,114950,114910,114910
06.11.2018,114930,114980,114920,114960
06.11.2018,114970,114980,114910,114910
06.11.2018,114930,114970,114920,114930
06.11.2018,114930,114940,114890,114910
06.11.2018,114900,114920,114890,114890
06.11.2018,114910,114930,114900,114900
06.11.2018,114900,114920,114870,114870
06.11.2018,114870,114900,114830,114870
06.11.2018,114870,114880,114850,114850
06.11.2018,114840,114880,114830,114870
06.11.2018,114870,114940,114870,114930
06.11.2018,114940,114970,114900,114970
06.11.2018,114970,114980,114940,114950
06.11.2018,114950,114950,114930,114940
06.11.2018,114940,114960,114930,114940
06.11.2018,114950,115010,114940,115000
06.11.2018,115020,115020,114960,114960
06.11.2018,114960,114970,114930,114930
06.11.2018,114940,114960,114920,114930
06.11.2018,114930,114980,114930,114950
06.11.2018,114950,114980,114850,114860
06.11.2018,114860,114970,114860,114950
06.11.2018,114950,115040,114940,114990
06.11.2018,115000,115010,114960,114980
06.11.2018,114970,115010,114930,114960
06.11.2018,114970,115040,114950,115030
06.11.2018,115030,115040,114960,114970
06.11.2018,114960,114970,114910,114970
06.11.2018,114960,114960,114890,114900
06.11.2018,114910,114940,114870,114920
06.11.2018,114920,114930,114890,114890
06.11.2018,114910,114930,114860,114860
06.11.2018,114860,114910,114860,114900
06.11.2018,114890,114930,114840,114840
06.11.2018,114840,114850,114780,114790
06.11.2018,114790,114860,114790,114830
06.11.2018,114850,114880,114790,114800
06.11.2018,114810,114840,114740,114760
06.11.2018,114770,114800,114730,114780
06.11.2018,114780,114790,114730,114770
06.11.2018,114770,114790,114650,114730
06.11.2018,114720,114740,114700,114730
06.11.2018,114720,114760,114670,114670
06.11.2018,114680,114740,114610,114630
06.11.2018,114630,114710,114620,114700
06.11.2018,114700,114710,114640,114670
06.11.2018,114660,114710,114660,114700
06.11.2018,114700,114730,114670,114700
06.11.2018,114690,114760,114680,114740
06.11.2018,114740,114770,114670,114690
06.11.2018,114680,114740,114670,114730
06.11.2018,114730,114780,114710,114760
06.11.2018,114750,114760,114700,114710
06.11.2018,114720,114740,114700,114720
06.11.2018,114720,114730,114690,114710
06.11.2018,114710,114720,114670,114710
06.11.2018,114730,114750,114700,114730
06.11.2018,114720,114770,114680,114700
06.11.2018,114690,114750,114670,114740
06.11.2018,114740,114780,114680,114690
06.11.2018,114690,114730,114690,114710
06.11.2018,114720,114760,114700,114710
06.11.2018,114700,114750,114700,114750
06.11.2018,114750,114800,114750,114800
06.11.2018,114800,114830,114780,114800
06.11.2018,114810,114860,114800,114840
06.11.2018,114850,114870,114830,114850
06.11.2018,114840,114860,114810,114840
06.11.2018,114830,114840,114800,114820
06.11.2018,114820,114860,114810,114830
06.11.2018,114840,114890,114820,114860
06.11.2018,114860,114880,114850,114870
06.11.2018,114880,114890,114860,114860
06.11.2018,114860,114890,114830,114830
06.11.2018,114820,114940,114820,114940
06.11.2018,114930,114940,114850,114850
06.11.2018,114840,114860,114810,114810
06.11.2018,114810,114860,114790,114800
06.11.2018,114800,114840,114780,114830
06.11.2018,114820,114870,114800,114800
06.11.2018,114810,114870,114810,114870
06.11.2018,114870,114930,114860,114890
06.11.2018,114890,114910,114850,114880
06.11.2018,114860,114860,114800,114820
06.11.2018,114810,114840,114790,114810
06.11.2018,114810,114820,114730,114740
06.11.2018,114750,114780,114720,114720
06.11.2018,114720,114800,114720,114760
06.11.2018,114760,114760,114660,114700
06.11.2018,114720,114740,114700,114740
06.11.2018,114730,114740,114660,114700
06.11.2018,114700,114800,114700,114780
06.11.2018,114770,114780,114720,114740
06.11.2018,114730,114740,114670,114680
06.11.2018,114680,114730,114640,114720
06.11.2018,114790,114820,114460,114580
06.11.2018,114580,114630,114550,114570
06.11.2018,114570,114630,114560,114610
06.11.2018,114610,114630,114550,114580
06.11.2018,114580,114650,114570,114640
06.11.2018,114630,114650,114580,114610
06.11.2018,114590,114600,114550,114560
06.11.2018,114570,114630,114530,114600
06.11.2018,114620,114640,114590,114610
06.11.2018,114610,114610,114530,114560
06.11.2018,114540,114550,114480,114510
06.11.2018,114510,114590,114480,114560
06.11.2018,114550,114580,114530,114580
06.11.2018,114570,114600,114550,114590
06.11.2018,114580,114710,114580,114700
06.11.2018,114690,114700,114620,114620
06.11.2018,114620,114620,114590,114600
06.11.2018,114610,114610,114570,114590
06.11.2018,114570,114580,114540,114550
06.11.2018,114550,114600,114540,114540
06.11.2018,114530,114550,114470,114500
06.11.2018,114500,114500,114430,114450
06.11.2018,114430,114490,114420,114470
06.11.2018,114460,114500,114460,114480
06.11.2018,114490,114540,114470,114500
06.11.2018,114500,114500,114460,114470
06.11.2018,114480,114530,114460,114470
06.11.2018,114480,114480,114390,114450
06.11.2018,114450,114530,114420,114520
06.11.2018,114520,114550,114500,114520
06.11.2018,114520,114560,114490,114530
06.11.2018,114520,114550,114480,114540
06.11.2018,114550,114670,114520,114640
06.11.2018,114650,114650,114550,114650
06.11.2018,114650,114680,114590,114660
06.11.2018,114670,114690,114660,114690
06.11.2018,114690,114750,114650,114660
06.11.2018,114670,114720,114650,114660
06.11.2018,114670,114700,114660,114670
06.11.2018,114670,114680,114640,114640
06.11.2018,114650,114660,114630,114640
06.11.2018,114640,114650,114560,114570
06.11.2018,114570,114600,114540,114570
06.11.2018,114570,114570,114490,114520
06.11.2018,114520,114540,114490,114510
06.11.2018,114510,114520,114450,114460
06.11.2018,114470,114500,114430,114450
06.11.2018,114450,114460,114420,114460
06.11.2018,114450,114460,114420,114450
06.11.2018,114450,114450,114400,114420
06.11.2018,114440,114460,114410,114460
06.11.2018,114460,114500,114450,114470
06.11.2018,114480,114490,114460,114460
06.11.2018,114470,114470,114440,114460
06.11.2018,114450,114470,114430,114470
06.11.2018,114450,114530,114450,114510
06.11.2018,114500,114550,114500,114540
06.11.2018,114540,114540,114490,114510
06.11.2018,114510,114530,114480,114530
06.11.2018,114520,114550,114510,114550
06.11.2018,114560,114580,114540,114570
06.11.2018,114580,114590,114540,114540
06.11.2018,114540,114580,114530,114550
06.11.2018,114550,114600,114540,114600
06.11.2018,114590,114600,114560,114570
06.11.2018,114570,114600,114560,114600
06.11.2018,114590,114610,114580,114590
06.11.2018,114600,114610,114580,114610
06.11.2018,114610,114610,114580,114590
06.11.2018,114590,114630,114580,114610
06.11.2018,114610,114620,114570,114580
06.11.2018,114580,114580,114560,114570
06.11.2018,114570,114590,114550,114560
06.11.2018,114570,114590,114570,114590
06.11.2018,114590,114620,114590,114620
06.11.2018,114620,114640,114580,114590
06.11.2018,114580,114590,114560,114580
06.11.2018,114560,114570,114550,114550
06.11.2018,114550,114580,114540,114580
06.11.2018,114570,114600,114570,114600
06.11.2018,114600,114610,114580,114590
06.11.2018,114590,114630,114580,114590
06.11.2018,114600,114600,114540,114540
06.11.2018,114540,114570,114540,114550
06.11.2018,114540,114560,114540,114560
06.11.2018,114550,114570,114550,114560
06.11.2018,114570,114580,114540,114580
06.11.2018,114590,114600,114570,114570
06.11.2018,114580,114590,114570,114580
06.11.2018,114580,114600,114570,114600
06.11.2018,114590,114590,114580,114580
06.11.2018,114590,114630,114580,114580
06.11.2018,114590,114630,114590,114630
06.11.2018,114640,114680,114620,114640
06.11.2018,114650,114690,114640,114660
06.11.2018,114670,114680,114640,114650
06.11.2018,114660,114700,114660,114680
06.11.2018,114680,114710,114660,114690
06.11.2018,114690,114690,114670,114680
06.11.2018,114680,114680,114670,114670
06.11.2018,114660,114700,114650,114690
06.11.2018,114690,114730,114690,114690
06.11.2018,114710,114780,114710,114730
06.11.2018,114740,114770,114740,114750
06.11.2018,114740,114760,114730,114750
06.11.2018,114760,114770,114720,114720
06.11.2018,114710,114750,114710,114730
06.11.2018,114720,114730,114710,114730
06.11.2018,114740,114760,114710,114740
06.11.2018,114750,114750,114720,114720
06.11.2018,114720,114780,114720,114730
06.11.2018,114730,114740,114720,114730
06.11.2018,114710,114720,114690,114720
06.11.2018,114710,114710,114660,114690
06.11.2018,114690,114700,114660,114690
06.11.2018,114680,114700,114670,114670
06.11.2018,114680,114680,114660,114660
06.11.2018,114670,114690,114670,114690
06.11.2018,114680,114690,114660,114660
06.11.2018,114670,114680,114640,114640
06.11.2018,114640,114670,114620,114630
06.11.2018,114640,114710,114630,114710
06.11.2018,114690,114690,114650,114660
06.11.2018,114660,114690,114650,114680
06.11.2018,114680,114680,114670,114670
06.11.2018,114680,114680,114660,114680
06.11.2018,114690,114700,114680,114680
06.11.2018,114680,114720,114680,114690
06.11.2018,114700,114710,114690,114700
06.11.2018,114690,114700,114680,114680
06.11.2018,114680,114700,114670,114670
06.11.2018,114660,114670,114640,114640
06.11.2018,114640,114660,114630,114650
06.11.2018,114650,114680,114650,114680
06.11.2018,114680,114680,114650,114660
06.11.2018,114660,114690,114650,114690
06.11.2018,114690,114700,114690,114700
06.11.2018,114710,114750,114680,114740
06.11.2018,114720,114720,114700,114700
06.11.2018,114690,114720,114690,114700
06.11.2018,114680,114680,114650,114660
06.11.2018,114650,114650,114620,114630
06.11.2018,114630,114630,114590,114590
06.11.2018,114590,114600,114580,114590
06.11.2018,114590,114600,114590,114590
06.11.2018,114590,114590,114550,114560
06.11.2018,114550,114580,114550,114580
06.11.2018,114570,114590,114570,114580
06.11.2018,114570,114600,114570,114600
06.11.2018,114590,114600,114580,114580
06.11.2018,114580,114610,114570,114600
06.11.2018,114610,114640,114590,114600
06.11.2018,114620,114640,114610,114640
06.11.2018,114630,114640,114620,114620
06.11.2018,114620,114630,114610,114620
06.11.2018,114630,114640,114600,114630
06.11.2018,114630,114630,114590,114590
06.11.2018,114590,114630,114590,114620
06.11.2018,114630,114650,114610,114630
06.11.2018,114630,114690,114610,114690
06.11.2018,114680,114680,114650,114670
06.11.2018,114660,114690,114660,114690
06.11.2018,114680,114700,114670,114700
06.11.2018,114700,114710,114690,114690
06.11.2018,114690,114690,114670,114680
06.11.2018,114680,114720,114670,114700
06.11.2018,114710,114730,114700,114720
06.11.2018,114720,114750,114720,114740
06.11.2018,114730,114740,114710,114710
06.11.2018,114710,114720,114700,114710
06.11.2018,114710,114740,114710,114730
06.11.2018,114740,114840,114740,114800
06.11.2018,114790,114800,114760,114760
06.11.2018,114770,114800,114770,114790
06.11.2018,114800,114840,114790,114840
06.11.2018,114840,114870,114830,114860
06.11.2018,114860,114890,114840,114840
06.11.2018,114840,114870,114830,114860
06.11.2018,114840,114850,114810,114820
06.11.2018,114810,114830,114810,114820
06.11.2018,114810,114830,114780,114790
06.11.2018,114790,114800,114740,114770
06.11.2018,114780,114800,114740,114740
06.11.2018,114740,114770,114730,114740
06.11.2018,114740,114770,114740,114760
06.11.2018,114770,114800,114760,114780
06.11.2018,114780,114800,114770,114800
06.11.2018,114790,114810,114780,114790
06.11.2018,114800,114820,114780,114810
06.11.2018,114800,114840,114800,114810
06.11.2018,114800,114830,114790,114820
06.11.2018,114820,114840,114810,114820
06.11.2018,114810,114880,114810,114870
06.11.2018,114870,114870,114800,114830
06.11.2018,114840,114840,114800,114810
06.11.2018,114810,114810,114740,114760
06.11.2018,114750,114760,114720,114740
06.11.2018,114730,114740,114710,114730
06.11.2018,114720,114730,114710,114720
06.11.2018,114710,114710,114680,114690
06.11.2018,114690,114700,114670,114690
06.11.2018,114680,114690,114660,114660
06.11.2018,114670,114710,114650,114700
06.11.2018,114690,114700,114680,114690
06.11.2018,114680,114710,114680,114690
06.11.2018,114680,114680,114640,114660
06.11.2018,114680,114700,114630,114630
06.11.2018,114640,114700,114640,114690
06.11.2018,114680,114680,114610,114630
06.11.2018,114610,114650,114570,114650
06.11.2018,114640,114650,114590,114640
06.11.2018,114660,114690,114660,114670
06.11.2018,114680,114730,114680,114700
06.11.2018,114680,114700,114650,114670
06.11.2018,114670,114680,114630,114640
06.11.2018,114640,114680,114620,114630
06.11.2018,114640,114680,114630,114680
06.11.2018,114670,114670,114640,114640
06.11.2018,114640,114650,114630,114630
06.11.2018,114630,114650,114610,114630
06.11.2018,114620,114630,114610,114630
06.11.2018,114650,114670,114640,114640
06.11.2018,114670,114680,114610,114660
06.11.2018,114660,114660,114610,114620
06.11.2018,114620,114650,114620,114640
06.11.2018,114640,114670,114640,114650
06.11.2018,114660,114660,114630,114630
06.11.2018,114650,114660,114650,114660
06.11.2018,114670,114720,114670,114680
06.11.2018,114660,114670,114650,114670
06.11.2018,114670,114710,114670,114690
06.11.2018,114690,114710,114670,114690
06.11.2018,114690,114700,114690,114700
06.11.2018,114690,114690,114660,114660
06.11.2018,114660,114660,114630,114650
06.11.2018,114640,114680,114620,114660
06.11.2018,114660,114720,114660,114700
06.11.2018,114680,114690,114670,114670
06.11.2018,114670,114670,114630,114660
06.11.2018,114650,114660,114610,114630
06.11.2018,114630,114630,114560,114580
06.11.2018,114570,114580,114550,114570
06.11.2018,114580,114600,114550,114590
06.11.2018,114600,114660,114590,114630
06.11.2018,114620,114640,114620,114640
06.11.2018,114630,114670,114630,114660
06.11.2018,114670,114670,114620,114630
06.11.2018,114640,114640,114610,114630
06.11.2018,114640,114640,114590,114610
06.11.2018,114610,114610,114530,114550
06.11.2018,114550,114560,114470,114490
06.11.2018,114490,114520,114490,114520
06.11.2018,114530,114550,114500,114540
06.11.2018,114540,114550,114530,114540
06.11.2018,114540,114550,114520,114550
06.11.2018,114550,114550,114530,114550
06.11.2018,114550,114590,114550,114570
06.11.2018,114590,114620,114590,114600
06.11.2018,114600,114630,114590,114630
06.11.2018,114620,114630,114610,114610
06.11.2018,114610,114610,114580,114580
06.11.2018,114590,114600,114580,114580
06.11.2018,114580,114580,114570,114580
06.11.2018,114590,114630,114590,114610
06.11.2018,114610,114660,114600,114650
06.11.2018,114640,114640,114620,114620
06.11.2018,114620,114620,114570,114570
06.11.2018,114570,114590,114560,114560
06.11.2018,114560,114590,114560,114580
06.11.2018,114580,114580,114520,114530
06.11.2018,114520,114580,114490,114570
06.11.2018,114570,114600,114570,114600
06.11.2018,114590,114600,114540,114550
06.11.2018,114550,114590,114540,114580
06.11.2018,114580,114580,114550,114560
06.11.2018,114570,114580,114530,114530
06.11.2018,114530,114580,114530,114550
06.11.2018,114530,114560,114530,114540
06.11.2018,114540,114550,114520,114540
06.11.2018,114540,114540,114510,114510
06.11.2018,114520,114580,114510,114580
06.11.2018,114560,114580,114550,114570
06.11.2018,114550,114550,114510,114510
06.11.2018,114530,114570,114520,114550
06.11.2018,114550,114630,114550,114620
06.11.2018,114610,114630,114600,114610
06.11.2018,114610,114640,114600,114630
06.11.2018,114630,114660,114630,114640
06.11.2018,114640,114660,114620,114630
06.11.2018,114640,114970,114610,114700
06.12.2018,114930,114930,113820,114000
06.12.2018,114000,114040,113790,113980
06.12.2018,113970,114080,113930,114070
06.12.2018,114070,114080,113950,113990
06.12.2018,113990,114040,113920,113960
06.12.2018,113950,114020,113900,113990
06.12.2018,113990,114000,113960,113990
06.12.2018,113990,113990,113950,113950
06.12.2018,113960,113970,113930,113960
06.12.2018,113970,114090,113950,114040
06.12.2018,114050,114080,113960,114080
06.12.2018,114070,114140,114040,114140
06.12.2018,114140,114140,114040,114100
06.12.2018,114090,114120,114000,114060
06.12.2018,114050,114100,113990,114070
06.12.2018,114070,114110,114020,114090
06.12.2018,114100,114140,114090,114130
06.12.2018,114140,114270,114120,114190
06.12.2018,114180,114360,114180,114350
06.12.2018,114350,114450,114310,114420
06.12.2018,114430,114450,114300,114300
06.12.2018,114320,114330,114240,114260
06.12.2018,114260,114300,114230,114250
06.12.2018,114250,114280,114240,114260
06.12.2018,114260,114260,114200,114250
06.12.2018,114240,114280,114240,114250
06.12.2018,114240,114300,114220,114280
06.12.2018,114270,114320,114260,114320
06.12.2018,114310,114350,114290,114330
06.12.2018,114320,114360,114300,114320
06.12.2018,114310,114320,114280,114310
06.12.2018,114310,114380,114290,114360
06.12.2018,114370,114410,114300,114400
06.12.2018,114410,114410,114300,114350
06.12.2018,114340,114340,114280,114300
06.12.2018,114290,114370,114280,114350
06.12.2018,114350,114370,114330,114340
06.12.2018,114330,114340,114260,114300
06.12.2018,114280,114300,114250,114260
06.12.2018,114260,114260,114160,114200
06.12.2018,114190,114330,114180,114260
06.12.2018,114260,114320,114240,114260
06.12.2018,114280,114290,114200,114290
06.12.2018,114290,114410,114290,114390
06.12.2018,114390,114410,114340,114390
06.12.2018,114380,114490,114370,114480
06.12.2018,114470,114530,114450,114480
06.12.2018,114480,114490,114440,114480
06.12.2018,114470,114490,114440,114440
06.12.2018,114440,114500,114420,114450
06.12.2018,114450,114460,114400,114430
06.12.2018,114420,114470,114420,114470
06.12.2018,114470,114480,114410,114410
06.12.2018,114430,114490,114410,114460
06.12.2018,114480,114490,114440,114450
06.12.2018,114440,114450,114410,114420
06.12.2018,114410,114420,114340,114420
06.12.2018,114410,114440,114360,114420
06.12.2018,114420,114470,114390,114410
06.12.2018,114410,114410,114350,114370
06.12.2018,114370,114400,114260,114270
06.12.2018,114260,114300,114040,114090
06.12.2018,114090,114170,114070,114120
06.12.2018,114120,114210,114120,114180
06.12.2018,114170,114210,114130,114170
06.12.2018,114180,114190,114040,114050
06.12.2018,114060,114100,114050,114080
06.12.2018,114090,114090,114050,114060
06.12.2018,114070,114070,113950,113990
06.12.2018,113980,114010,113930,113990
06.12.2018,113970,113980,113890,113910
06.12.2018,113910,113950,113870,113890
06.12.2018,113900,113930,113880,113930
06.12.2018,113930,113930,113850,113870
06.12.2018,113870,113950,113870,113890
06.12.2018,113890,113990,113880,113980
06.12.2018,113980,114010,113940,113980
06.12.2018,113980,114000,113920,114000
06.12.2018,114000,114010,113880,113890
06.12.2018,113890,113940,113870,113900
06.12.2018,113890,113920,113860,113890
06.12.2018,113890,113970,113880,113910
06.12.2018,113910,113920,113890,113890
06.12.2018,113890,113900,113730,113760
06.12.2018,113750,113770,113620,113690
06.12.2018,113680,113700,113630,113660
06.12.2018,113650,113730,113640,113700
06.12.2018,113700,113700,113620,113620
06.12.2018,113620,113630,113540,113570
06.12.2018,113570,113580,113530,113540
06.12.2018,113540,113580,113530,113570
06.12.2018,113570,113630,113550,113630
06.12.2018,113620,113650,113600,113600
06.12.2018,113600,113630,113580,113630
06.12.2018,113630,113650,113600,113610
06.12.2018,113610,113650,113590,113610
06.12.2018,113600,113640,113550,113630
06.12.2018,113630,113640,113570,113600
06.12.2018,113610,113610,113530,113600
06.12.2018,113600,113610,113540,113600
06.12.2018,113600,113600,113530,113600
06.12.2018,113580,113600,113530,113550
06.12.2018,113540,113540,113480,113490
06.12.2018,113480,113490,113210,113220
06.12.2018,113230,113360,113210,113340
06.12.2018,113340,113360,113300,113310
06.12.2018,113310,113310,113200,113280
06.12.2018,113280,113290,113200,113260
06.12.2018,113250,113290,113220,113230
06.12.2018,113230,113250,113150,113200
06.12.2018,113200,113260,113130,113240
06.12.2018,113250,113400,113230,113360
06.12.2018,113350,113380,113250,113270
06.12.2018,113260,113270,113210,113220
06.12.2018,113230,113280,113160,113240
06.12.2018,113230,113300,113210,113300
06.12.2018,113300,113330,113280,113310
06.12.2018,113310,113390,113300,113380
06.12.2018,113390,113430,113310,113360
06.12.2018,113370,113390,113240,113240
06.12.2018,113240,113250,113100,113100
06.12.2018,113100,113150,113070,113140
